Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
c8oybX6;cable rope elevated seated row;Remo sentado elevado con cuerda;upper back;back;cable;https://static.exercisedb.dev/media/c8oybX6.gif;Step:1 Sit on the elevated seat facing the cable machine. | Step:2 Grab the cable rope handles with an overhand grip, palms facing each other. | Step:3 Keep your back straight and lean slightly back, maintaining a slight bend in your knees. | Step:4 Pull the cable towards your body by retracting your shoulder blades and squeezing your back muscles. | Step:5 Pause for a moment at the fully contracted position. | Step:6 Slowly release the tension and extend your arms back to the starting position. | Step:7 Repeat for the desired number of repetitions.;"Step:1 Siéntate en el asiento elevado de cara a la máquina de poleas.
Step:2 Sujeta los agarres de cuerda con un agarre neutro (palmas enfrentadas).
Step:3 Mantén la espalda recta e inclínate ligeramente hacia atrás, manteniendo una ligera flexión en las rodillas.
Step:4 Tira del cable hacia tu cuerpo retrayendo las escápulas y apretando los músculos de la espalda.
Step:5 Haz una pausa un momento en la posición de máxima contracción.
Step:6 Libera lentamente la tensión y extiende los brazos de nuevo hasta la posición inicial.
Step:7 Repite el movimiento durante el número deseado de repeticiones.";biceps, forearms
b9kqlBy;kettlebell alternating renegade row;Remo renegado alterno con pesas rusas (Kettlebells);upper back;back;kettlebell;https://static.exercisedb.dev/media/b9kqlBy.gif;Step:1 Start in a high plank position with your hands gripping the kettlebells and your feet hip-width apart. | Step:2 Engage your core and keep your body in a straight line from head to heels. | Step:3 Pull one kettlebell up towards your chest, keeping your elbow close to your body. | Step:4 Lower the kettlebell back down to the starting position and repeat with the other arm. | Step:5 Continue alternating arms for the desired number of repetitions.;"Step:1 Empieza en posición de plancha alta (push-up) con las manos sujetando las pesas rusas y los pies a la anchura de las caderas.
Step:2 Activa el core y mantén el cuerpo en línea recta desde la cabeza hasta los talones.
Step:3 Tira de una pesa rusa hacia tu pecho, manteniendo el codo cerca del cuerpo.
Step:4 Baja la pesa rusa de nuevo a la posición inicial y repite con el otro brazo.
Step:5 Continúa alternando brazos durante el número deseado de repeticiones.";core, shoulders
WrYPP2g;cable one arm straight back high row (kneeling);Remo alto a una mano en polea (arrodillado);upper back;back;cable;https://static.exercisedb.dev/media/WrYPP2g.gif;Step:1 Attach a handle to a cable machine at waist height. | Step:2 Kneel down facing the cable machine and grab the handle with one hand. | Step:3 Keep your back straight and your core engaged. | Step:4 Pull the handle towards your chest, squeezing your shoulder blades together. | Step:5 Pause for a moment at the top of the movement. | Step:6 Slowly release the handle back to the starting position. | Step:7 Repeat for the desired number of repetitions. | Step:8 Switch sides and repeat the exercise with the other arm.;"Step:1 Coloca un agarre (asa) en la máquina de poleas a la altura de la cintura.
Step:2 Arrodíllate frente a la máquina y sujeta el agarre con una mano.
Step:3 Mantén la espalda recta y el core activado.
Step:4 Tira del agarre hacia tu pecho, apretando las escápulas.
Step:5 Haz una pausa un momento arriba del movimiento.
Step:6 Regresa lentamente el agarre a la posición inicial.
Step:7 Repite las veces necesarias.
Step:8 Cambia de lado y repite el ejercicio con el otro brazo.";biceps, shoulders
km0sQC0;band one arm standing low row;Remo bajo a una mano con banda elástica (de pie);upper back;back;band;https://static.exercisedb.dev/media/km0sQC0.gif;Step:1 Attach the band to a stable anchor point at waist height. | Step:2 Stand facing the anchor point with your feet shoulder-width apart. | Step:3 Hold the band with one hand, palm facing inward, and step back to create tension in the band. | Step:4 Bend your knees slightly and hinge forward at the hips, keeping your back straight. | Step:5 Pull the band towards your waist, squeezing your shoulder blades together. | Step:6 Pause for a moment at the top of the movement, then slowly release the band back to the starting position. | Step:7 Repeat for the desired number of repetitions, then switch sides.;"Step:1 Fija la banda a un punto de anclaje estable a la altura de la cintura.
Step:2 Ponte de pie frente al punto de anclaje con los pies a la anchura de los hombros.
Step:3 Sujeta la banda con una mano (palma hacia adentro) y da un paso atrás para generar tensión.
Step:4 Flexiona ligeramente las rodillas e inclina el torso hacia adelante desde la cadera, manteniendo la espalda recta.
Step:5 Tira de la banda hacia tu cintura, apretando las escápulas.
Step:6 Haz una pausa un momento arriba y luego regresa lentamente a la posición inicial.
Step:7 Repite las veces necesarias y luego cambia de lado.";biceps, shoulders
Ca76jUE;kettlebell alternating row;Remo alterno con pesas rusas (Kettlebells);upper back;back;kettlebell;https://static.exercisedb.dev/media/Ca76jUE.gif;Step:1 Stand with your feet shoulder-width apart, knees slightly bent, and hold a kettlebell in each hand with your palms facing your body. | Step:2 Bend forward at the hips, keeping your back straight and your core engaged. | Step:3 Pull one kettlebell up towards your chest, keeping your elbow close to your body and squeezing your shoulder blades together. | Step:4 Lower the kettlebell back down to the starting position and repeat with the other arm. | Step:5 Continue alternating arms for the desired number of repetitions.;"Step:1 Ponte de pie con los pies a la anchura de los hombros, rodillas ligeramente flexionadas y sujeta una pesa rusa en cada mano (palmas hacia el cuerpo).
Step:2 Inclínate hacia adelante desde la cadera, manteniendo la espalda recta y el core activado.
Step:3 Tira de una pesa rusa hacia tu pecho, manteniendo el codo cerca del cuerpo y apretando las escápulas.
Step:4 Baja la pesa rusa a la posición inicial y repite con el otro brazo.
Step:5 Continúa alternando brazos durante el número deseado de repeticiones.";biceps, forearms
ZX9UZmj;smith bent over row;Remo inclinado en máquina Smith (Multipower);upper back;back;smith machine;https://static.exercisedb.dev/media/ZX9UZmj.gif;Step:1 Set up the smith machine with the bar at hip height. | Step:2 Stand facing the bar with your feet shoulder-width apart. | Step:3 Bend your knees slightly and hinge forward at the hips, keeping your back straight. | Step:4 Grasp the bar with an overhand grip, hands slightly wider than shoulder-width apart. | Step:5 Pull the bar towards your lower chest, squeezing your shoulder blades together. | Step:6 Pause for a moment at the top, then slowly lower the bar back down to the starting position. | Step:7 Repeat for the desired number of repetitions.;"Step:1 Ajusta la máquina Smith con la barra a la altura de la cadera.
Step:2 Ponte de pie frente a la barra con los pies a la anchura de los hombros.
Step:3 Flexiona ligeramente las rodillas e inclina el torso hacia adelante desde la cadera, con la espalda recta.
Step:4 Sujeta la barra con un agarre prono (palmas hacia abajo), un poco más abierto que la anchura de los hombros.
Step:5 Tira de la barra hacia la parte inferior del pecho, apretando las escápulas.
Step:6 Haz una pausa un momento arriba y luego baja lentamente la barra a la posición inicial.
Step:7 Repite el movimiento durante el número de repeticiones deseado.";biceps, forearms
xbkPfaw;bodyweight standing one arm row;Remo a una mano con mancuerna (de pie);upper back;back;body weight;https://static.exercisedb.dev/media/xbkPfaw.gif;Step:1 Stand with your feet shoulder-width apart, knees slightly bent, and hold a dumbbell in one hand. | Step:2 Bend forward at the hips, keeping your back straight and your core engaged. | Step:3 Let the dumbbell hang straight down in front of you, with your arm fully extended. | Step:4 Pull the dumbbell up towards your chest, keeping your elbow close to your body. | Step:5 Squeeze your shoulder blades together at the top of the movement. | Step:6 Lower the dumbbell back down to the starting position. | Step:7 Repeat for the desired number of repetitions, then switch sides.;"Step:1 Ponte de pie con los pies a la anchura de los hombros, rodillas ligeramente flexionadas y sujeta una mancuerna en una mano.
Step:2 Inclínate hacia adelante desde la cadera, manteniendo la espalda recta y el core activado.
Step:3 Deja que la mancuerna cuelgue frente a ti con el brazo completamente extendido.
Step:4 Tira de la mancuerna hacia tu pecho, manteniendo el codo cerca de tu cuerpo.
Step:5 Aprieta las escápulas en la parte más alta del movimiento.
Step:6 Baja la mancuerna de nuevo a la posición inicial de forma controlada.
Step:7 Repite las veces necesarias y luego cambia de lado.";biceps, forearms
bKWbrTA;one arm towel row;Remo a una mano con toalla;upper back;back;body weight;https://static.exercisedb.dev/media/bKWbrTA.gif;Step:1 Stand with your feet shoulder-width apart, knees slightly bent, and hold a towel with one hand. | Step:2 Bend forward at the waist, keeping your back straight and your core engaged. | Step:3 Extend your arm fully, allowing the towel to hang in front of you. | Step:4 Pull the towel towards your chest, squeezing your shoulder blades together. | Step:5 Pause for a moment at the top, then slowly lower the towel back to the starting position. | Step:6 Repeat for the desired number of repetitions, then switch arms.;"Step:1 Ponte de pie con los pies a la anchura de los hombros, rodillas ligeramente flexionadas y sujeta una toalla con una mano.
Step:2 Inclínate hacia adelante desde la cintura, manteniendo la espalda recta y el core activado.
Step:3 Extiende el brazo por completo, dejando que la toalla cuelgue frente a ti.
Step:4 Tira de la toalla hacia tu pecho, apretando las escápulas.
Step:5 Haz una pausa un momento arriba y luego baja lentamente la toalla a la posición inicial.
Step:6 Repite las veces necesarias y cambia de brazo.";biceps, forearms
XUUD0Fs;dumbbell lying rear delt row;Remo para deltoides posterior con mancuernas (tumbado en banco);upper back;back;dumbbell;https://static.exercisedb.dev/media/XUUD0Fs.gif;Step:1 Lie face down on a flat bench with a dumbbell in each hand, palms facing inwards. | Step:2 Extend your arms straight down towards the floor, keeping a slight bend in your elbows. | Step:3 Engaging your back muscles, lift the dumbbells up towards your chest, squeezing your shoulder blades together. | Step:4 Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. | Step:5 Repeat for the desired number of repetitions.;"Step:1 Túmbate boca abajo en un banco plano con una mancuerna en cada mano y agarre neutro (palmas enfrentadas).
Step:2 Extiende los brazos hacia el suelo, manteniendo una ligera flexión en los codos.
Step:3 Activando los músculos de la espalda, eleva las mancuernas hacia tu pecho, apretando las escápulas.
Step:4 Haz una pausa un momento arriba y baja lentamente las mancuernas a la posición inicial.
Step:5 Repite el movimiento durante el número de repeticiones deseado.";shoulders, biceps
Fhdtwf3;lever one arm bent over row;Remo inclinado a una mano en máquina de palanca;upper back;back;barbell;https://static.exercisedb.dev/media/Fhdtwf3.gif;Step:1 Stand with your feet shoulder-width apart, knees slightly bent, and hold a barbell with an overhand grip. | Step:2 Bend forward at the hips, keeping your back straight and your head up. | Step:3 Let the barbell hang in front of you with your arms fully extended. | Step:4 Pull the barbell up towards your chest, keeping your elbows close to your body. | Step:5 Squeeze your shoulder blades together at the top of the movement. | Step:6 Lower the barbell back down to the starting position. | Step:7 Repeat for the desired number of repetitions.;"Step:1 Ponte de pie con los pies a la anchura de los hombros, rodillas ligeramente flexionadas y sujeta la barra con un agarre prono (palmas hacia abajo).
Step:2 Inclínate hacia adelante desde la cadera, manteniendo la espalda recta y la mirada al frente.
Step:3 Deja que la barra cuelgue frente a ti con los brazos completamente extendidos.
Step:4 Tira de la barra hacia tu pecho, manteniendo los codos cerca del cuerpo.
Step:5 Aprieta las escápulas en la parte más alta del movimiento.
Step:6 Baja la barra de nuevo a la posición inicial.
Step:7 Repite el movimiento durante el número de repeticiones deseado.";biceps, forearms
PNtsX17;cable reverse-grip straight back seated high row;Remo alto sentado en polea con agarre inverso (supino);upper back;back;cable;https://static.exercisedb.dev/media/PNtsX17.gif;Step:1 Sit on the seat facing the cable machine with your feet flat on the floor. | Step:2 Grasp the cable attachment with an underhand grip, palms facing up, and your hands shoulder-width apart. | Step:3 Keep your back straight and lean slightly forward from your hips. | Step:4 Pull the cable towards your torso by retracting your shoulder blades and squeezing your back muscles. | Step:5 Pause for a moment at the peak of the contraction, then slowly release the cable back to the starting position. | Step:6 Repeat for the desired number of repetitions.;"Step:1 Siéntate en el asiento de cara a la máquina de poleas con los pies apoyados en el suelo.
Step:2 Sujeta el accesorio de la polea con un agarre supino (palmas hacia arriba) y las manos a la anchura de los hombros.
Step:3 Mantén la espalda recta e inclínate ligeramente hacia adelante desde la cadera.
Step:4 Tira del cable hacia tu torso retrayendo las escápulas y apretando los músculos de la espalda.
Step:5 Haz una pausa un momento en el punto de máxima contracción y luego regresa lentamente a la posición inicial.
Step:6 Repite el movimiento durante el número de repeticiones deseado.";biceps, forearms
OmQ8w0p;cable palm rotational row;Remo en polea con rotación de palma;upper back;back;cable;https://static.exercisedb.dev/media/OmQ8w0p.gif;Step:1 Attach a handle to a cable machine at waist height. | Step:2 Stand facing the machine with your feet shoulder-width apart. | Step:3 Grasp the handle with an overhand grip, palms facing down. | Step:4 Step back to create tension on the cable, keeping your back straight and knees slightly bent. | Step:5 Pull the handle towards your body, rotating your palms to face upwards as you do so. | Step:6 Squeeze your shoulder blades together at the end of the movement. | Step:7 Slowly release the handle back to the starting position. | Step:8 Repeat for the desired number of repetitions.;"Step:1 Coloca un agarre (asa) en la máquina de poleas a la altura de la cintura.
Step:2 Ponte de pie frente a la máquina con los pies a la anchura de los hombros.
Step:3 Sujeta el agarre con un agarre prono (palmas hacia abajo).
Step:4 Da un paso atrás para crear tensión en el cable, manteniendo la espalda recta y las rodillas ligeramente flexionadas.
Step:5 Tira del agarre hacia tu cuerpo, girando las palmas hacia arriba durante el recorrido.
Step:6 Aprieta las escápulas al final del movimiento.
Step:7 Regresa lentamente el agarre a la posición inicial.
Step:8 Repite el movimiento durante el número de repeticiones deseado.";biceps, forearms
7vG5o25;dumbbell incline row;Remo inclinado con mancuernas (apoyo en pecho);upper back;back;dumbbell;https://static.exercisedb.dev/media/7vG5o25.gif;Step:1 Set up an incline bench at a 45-degree angle. | Step:2 Grab a dumbbell in each hand and sit on the bench with your chest against the incline. | Step:3 Extend your arms fully, allowing the dumbbells to hang straight down from your shoulders. | Step:4 Pull the dumbbells up towards your chest, squeezing your shoulder blades together. | Step:5 Pause for a moment at the top, then slowly lower the dumbbells back to the starting position. | Step:6 Repeat for the desired number of repetitions.;"Step:1 Ajusta un banco inclinado a un ángulo de 45 grados.
Step:2 Sujeta una mancuerna en cada mano y túmbate boca abajo en el banco con el pecho apoyado en el respaldo.
Step:3 Extiende los brazos por completo, dejando que las mancuernas cuelguen rectas desde los hombros.
Step:4 Tira de las mancuernas hacia tu pecho, apretando las escápulas.
Step:5 Haz una pausa un momento arriba y luego baja lentamente las mancuernas a la posición inicial.
Step:6 Repite el movimiento durante el número de repeticiones deseado.";biceps, shoulders
hvV79Si;cable low seated row;Remo bajo sentado en polea;upper back;back;cable;https://static.exercisedb.dev/media/hvV79Si.gif;Step:1 Sit on the machine with your feet flat on the footrests and your knees slightly bent. | Step:2 Grasp the handles with an overhand grip, palms facing down. | Step:3 Keep your back straight and lean slightly forward, maintaining a slight bend in your elbows. | Step:4 Pull the handles towards your body, squeezing your shoulder blades together. | Step:5 Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position. | Step:6 Repeat for the desired number of repetitions.;"Step:1 Siéntate en la máquina con los pies apoyados en los reposapiés y las rodillas ligeramente flexionadas.
Step:2 Sujeta los agarres con un agarre prono (palmas hacia abajo).
Step:3 Mantén la espalda recta e inclínate ligeramente hacia adelante, manteniendo una pequeña flexión en los codos.
Step:4 Tira de los agarres hacia tu cuerpo, apretando las escápulas.
Step:5 Haz una pausa un momento en el punto de máxima contracción y luego regresa lentamente a la posición inicial.
Step:6 Repite el movimiento durante el número de repeticiones deseado.";biceps, forearms
wf24o8S;kettlebell two arm row;Remo a dos manos con pesas rusas (Kettlebells);upper back;back;kettlebell;https://static.exercisedb.dev/media/wf24o8S.gif;Step:1 Stand with your feet shoulder-width apart, knees slightly bent, and hold a kettlebell in each hand with your palms facing your body. | Step:2 Bend forward at the hips, keeping your back straight and your core engaged. | Step:3 Pull the kettlebells up towards your chest, squeezing your shoulder blades together. | Step:4 Pause for a moment at the top, then slowly lower the kettlebells back down to the starting position. | Step:5 Repeat for the desired number of repetitions.;"Step:1 Ponte de pie con los pies a la anchura de los hombros, rodillas ligeramente flexionadas y sujeta una pesa rusa en cada mano (palmas hacia el cuerpo).
Step:2 Inclínate hacia adelante desde la cadera, manteniendo la espalda recta y el core activado.
Step:3 Tira de las pesas rusas hacia tu pecho, apretando las escápulas.
Step:4 Haz una pausa un momento arriba y luego baja lentamente las pesas rusas a la posición inicial.
Step:5 Repite el movimiento durante el número de repeticiones deseado.";biceps, forearms
BReCuOn;bodyweight squatting row (with towel);Remo en sentadilla con toalla (peso corporal);upper back;back;body weight;https://static.exercisedb.dev/media/BReCuOn.gif;Step:1 Stand with your feet shoulder-width apart, holding a towel in front of you with your palms facing down. | Step:2 Bend your knees and lower your body into a squat position, keeping your back straight and your chest up. | Step:3 As you lower into the squat, simultaneously pull the towel towards your chest, squeezing your shoulder blades together. | Step:4 Pause for a moment at the bottom of the squat, then slowly return to the starting position while extending your arms. | Step:5 Repeat for the desired number of repetitions.;"Step:1 Ponte de pie con los pies a la anchura de los hombros, sujetando una toalla frente a ti con las palmas hacia abajo.
Step:2 Dobla las rodillas y baja el cuerpo hasta una posición de sentadilla, con la espalda recta y el pecho erguido.
Step:3 Mientras bajas a la sentadilla, tira simultáneamente de la toalla hacia tu pecho, apretando las escápulas.
Step:4 Haz una pausa un momento en la parte inferior de la sentadilla y luego regresa lentamente a la posición inicial extendiendo los brazos.
Step:5 Repite el movimiento durante el número de repeticiones deseado.";biceps, shoulders
oROuvrX;lever unilateral row;Remo unilateral en máquina;upper back;back;leverage machine;https://static.exercisedb.dev/media/oROuvrX.gif;Step:1 Adjust the seat height and position yourself facing the machine. | Step:2 Grasp the handles with an overhand grip and keep your back straight. | Step:3 Pull the handles towards your body, squeezing your shoulder blades together. | Step:4 Pause for a moment at the peak of the movement, then slowly release and extend your arms back to the starting position. | Step:5 Repeat for the desired number of repetitions.;"Step:1 Ajusta la altura del asiento y colócate de cara a la máquina.
Step:2 Sujeta los agarres con un agarre prono (palmas hacia abajo) y mantén la espalda recta.
Step:3 Tira de los agarres hacia tu cuerpo, apretando las escápulas.
Step:4 Haz una pausa un momento en el punto de máxima contracción, luego libera lentamente el peso extendiendo los brazos a la posición inicial.
Step:5 Repite el movimiento durante el número de repeticiones deseado.";biceps, forearms
